text,label
那 要是 抽 不到 你 你 不得 哭 ,6
抽 不到 口红 我 可能 会 哭 ,3
最 好吃 的 是 什么 不是 季节 啊 我 首先 想到 的 就是 大闸蟹 ,6
那边 没有 最 好吃 的 不 好吃 都 ,3
坐 高铁 去 得 几个 小时 多钱 我 考虑 要是 去 上海 可以 考虑 坐 高铁 去 武汉 吃 米粉 哈哈 ,1
尼玛 你 直接 飞来 我 请 你 吃 够 哈哈 ,1
我 目的地 不是 武汉 啊 ,6
我 想 知道 有没有 好心人 点进 我 的 相册 看看 我 是 几分 的 … 小声 逼 逼 瑟瑟 发抖 ,4
8 分 呀 6 条条 条 符合 呀 ,2
真 爱 宝宝 怎么 在 这 被 你 捞 出来 的 ,2
哈哈哈 通知 里面 看到 的 ,1
摸摸头 坚强 的 小土豆 ,2
噗 你 也 是 大家 都 一样 作为 特别 关注 我 特别 荣幸 噗 ,1
哈哈哈 我 还 指望 着 你 成 了 网红 一起 卖 面膜 呢 ,1
噗 好 哒 那 我 要 多出 一点 摄影 作品 了 ,1
铁定 是 没 成功 啊 ,3
哎呀 你 觉得 可能 吗 我 一 出马 不 成功 不 可能 ,2
哦 哟 是不是 哦 出马 和 看看 ,5
哈哈哈哈 开玩笑 的 人家 一定 要 谦虚 啦 ,1
哈哈 好 谦虚 哦 我 其实 才 是 最 谦虚 的 ,1
可 我 觉得 他 没有 比赛 的 时候 可爱 了 样子 变 了 ,2
是 的 的 台下 很 可爱 脸 怎么 尖尖 的 了 不过 唱歌 的 时候 真的 好腻害 ,2
嗯 嗯 唱歌 超 好听 手 都 很帅 ,2
嗯 呢 男生 手 好看 很 心动 哦 ,2
不太 懂素 锦 为啥 对 着 镜子 说话 她 不 知道 她 手上 的 镜子 是夜 华 的 而 另 一个 镜子 在 素素 那么 ,6
就是 故意 说 给 素素 听 ,6
她 说 的 那个 话 特别 真诚 我 以为 她 想 对 夜华说 ,6
哈哈 可以 看看 原着 就 都 懂 了 ,1
播音 界 泰斗 齐越 老先生 ,6
对 对 对 文化 人 呀 ,2
我 是 播音 主持 专业 的 哈哈 ,1
可以 呀 厉害 了 ,2
照顾 好 自己 抱抱 ,2
抱抱 也 不 知道 最近 怎么 了 身体 这么 差 ,3
我 男朋友 上个月 也 是 超级 背 还 一直 生病 水逆嘛 都 会 好 的 ,2
嗯 嗯 我 相信 我 很快 就 会 好 起来 的 ,2
为 自己 准备 好 纸巾 了 不 哭 不是 我 本人 ,3
我 到时候 都 不想 投票 了 双重 压力 ,4
我 姐妹 跟 我 说 说不定 你 哥哥 就 差 你 那 几百 票 痛苦 啊 ,3
这个 时候 无比 希望 公司 下场 帮 我们 投 几个 小时 票 好不好 ,3
我们 根本 指望 不了 公司 555 他们 只想 简单 快乐 ,3
简单 快乐 还要 剪辑 师 吗 我 自荐 一下 ,6
我 不 喜欢 秃子 ,5
秃子 怎么 啦 怎么 啦 怎么 啦 环保 节能 又 可以 照亮 ,5
秃子 有点像 吸毒 的 啊 ,5
扯淡 你 这 太 不 客观 好多 满脑袋 头发 的 还 杀人 呢 ,5
可以 找 你 谈恋爱 不 周末 包 接送 的 那种 哈哈 ,1
不 和 hmp 谈恋爱 那种 又 是 哪种 ,5
乱说 你 误解 我 了 我 只是 幽默 一哈 ,1
可能 是 嘛 这 样子 幽默 我 就 只有 呵呵 了 ,5
搞 得 我 跟 坏人 一样 ,5
十个 高地 9 个基 外加 名字 可以 确认 也 是 基 ,6
哈哈哈哈 哈哈哈哈 哈哈哈 哈哈哈 哈哈哈 哈哈哈 哈哈哈 哈哈哈 我 是 基佬 我 骄傲 名字 一点 也 不 鸡 ,1
天宝 伏妖 录 还 不基 ,6
嘘 那 是 本玄幻 剧情 文 ,6
我 只 注意 到 了 是 他 ,6
哈哈 是 男生 然而 好 朋友 没有 性别 之分 ,1
我 不管 又 一个 潜在 情敌 ,4
哪来 这么 多 情敌 啦 亲亲 哈 ,1
你 啊 你 啊 真系 好靓 啊 你 ,2
好似 你 靓 d 喔 ,2
你 有 星味 哈哈 ,2
你 青春 无敌 ,2
小学 你 就 38 的 脚 了 莫非 阁下 就是 江湖 上 人人 敬仰 的 赤脚大仙 小弟 乃 诚实可靠 小 郎君 人世间 一 迷途 小书童 久仰大名 ,6
你 是 第二个 发现 的 脑子 一下子 没 转过 弯来 ,6
泡脚 好 事情 解乏 还 可以 去死皮 小时候 你 就 知道 这些 长大 不得了 的 ,6
好家伙 被 你 一 说 我 感觉 自己 突然 好 机智 ,2
必须 的 捏 脚 这个 行业 你 不 掌握 点 专业技能 养生 知识 怎么 和 客人 交流 你 说 对 吧 ,2
哈哈 看 你 美得 多 练练 省 的 下回 再 扭到 哈哈 ,1
不是 扭 到 是 脚 一直 抽筋 不 知道 怎么回事 唉 ,3
带 着 耳机 影响 你 发挥 了 赶紧 整个 小 音箱 去 ,6
呵呵 我 也 正 有 这 打算 呢 没有 音箱 太 不 方便 了 明天 得空 了 去 淘个 ,6
哈哈 听姐 的 保准 不错 哈哈哈 ,1
衣服 真 多 可以 换 两 小时 ,2
数学 上 有 排列组合 这一说 两条 裤子 三件 褂子 可以 搭 六套 以此类推 ,6
真 羡慕 数学 学 的 好且 衣服 又 多 的 人 ,2
知道 abc 不 代表 英语 好 ,6
政府 同意 人民 反对 请问 这是 什么 政府 还有 是 国家 哪部 法律 第几条 ,5
这个 破 安检 一看 就是 地方 zf 一意孤行 为了 向 central 谄媚 交差 话 说 层主 也 玩舰 r ,5
对 的 要来波 好友 么 ,6
你 哪个 服 我 理解 服 ,6
十八 线 假装 是 莲花 的 绿茶 38 线 的 喷子 ,5
毕竟 十八 线 人家 也 急呀 不上 杆子 蹭 点儿 也 没辙 ,5
你 美 你 说 的 都 对 ,2
到 哪儿 热评 都 是 她 各种 扎眼 ,5
对 的 而且 永远 复制粘贴 ,5
你 的 高光用 的 什么 牌子 的 啊 灵 不灵 ,6
用 的 棒 啊 估计 你 会 觉得 油腻腻 我蛮 喜欢 的 不过 男生 会 说 满脸 油光 ,2
什么 牌子 的 啊 看起来 不错 呢 我 也 一直 想 买 高光 的 ,6
3ce 我 脸起 皮 冬天 不敢 用 粉状 的 夏天 用 可能 会油 ,6
你 永远 走 在 我 前面 注定 要 给 我 提供 攻略 ,6
好 的 据说 九月 贷款 比较 紧 我 正好 可以 请个 假 嘿嘿 ,1
意思 是 我 也 能 休息 休息 了 ,6
没错 哈哈 等 我 给 你 提供 攻略 ,1
好 的 你们 云南 跟团 么 ,6
要 问 她 我 一无所知 哈哈 ,1
下次 找 一张 我 侄女 的 照片 发给你 看 和 你家 闺女 长得 一个样 现在 大学 教书 ,6
也 有 这么 肥大 ,5
长得 像 胖得 也 像 ,6
那 这个 老师 看上去 非常 和蔼 了 ,2
如果 女 的 回答 看过 画 的 怎么办 然后 女 的 继续 补刀 她 认真 想 五角星 她 看 没 看过 怎么办 ,6
撞 上 了 我 的 回答 就是 看到 过 ,6
很 好 很 好 很 好 ,2
然后 我 朋友 就 说 这 就是 你 没 对象 的 原因 见 过 的 太 多 了 ,6
你好 厉害 我 好 怕怕 万一 碰见 你 你 会 不会 骂 我 啊 ,4
怎么 可能 一看 你 也 不是 那么 没 素质 的 人 另外 我 现在 也 不 跟 那种 人 较劲 犯不着 ,6
我 很 乖 的 开车 特别 文明 我 准备 明天 给 后面 弄个 新 手上 路 ,1
别 有人 知道 你 是 新手 该 欺负 你 了 什么 也 别 弄 最好 ,6
你 也 不吃 葱 吗 ,6
此物 乃 世间 不合理 存在 之一 ,5
可是 有些 食物 没有 葱 又 觉得 少 点 什么 挑葱 好 辛苦 ,5
世界 没有 葱 并 不会 有何 不同 哦 我 总是 看见 端来 的 葱 才 想起 忘 跟 店家 说别 放 葱 ,5
生日快乐 去年 我们 一起 今年 大家 都 在 不同 领域 努力 加油 ,1
好怀念 在 剧组 的 日子 … 蛇 蛇 都 拍 好 几部戏 了 火 了 可 千万 不要 忘记 飘姐 ,6
哈哈 飘姐 现在 了 都 是 主持人 了 呢 希望 有天 你 主持 节目 嘉宾 是 我 哈哈哈 ,1
嗯 哪 嗯 哪 我们 都 好好 努力 ,1
真 小资 去 加拿大 的 准备 工作 一切 还 顺利 吧 ,6
还 没 啊 昨天 刚刚 发邮件 给 加拿大 大使馆 催 签证 好怕 这 两周 h 出 不了 啊 ,4
我 当时 也 是 签证 在 航班 前 一周 才 粗来 加 政府 效率 一塌糊涂 的 ,5
你 总共 等 了 多久 呀 我 七月 中 回来 才 递 的 现在 刚 一个月 所以 比较 担心 ,4
阿佳妮 只 看过 她 一部 地下铁 就 爱 得 很 ,2
玛戈 皇后 里 的 阿佳妮 美不胜收 活生生 大仲马 笔下 走 出来 的 ,2
刚 搜 了 下 没 找到 源 ,6
是 蛮 难 找 的 我 当初 看 的 也 是 删节版 字幕 也 乱七八糟 但 阿佳妮 的 美貌 5555 惊天地泣鬼神 啊 ,2
有个 手工 客 的 app 做布艺 木工 之类 的 很 好 的 ,2
恩恩 我 已经 下载 啦 感谢 推荐 ,2
我 也 下载 打算 做 木工 呢 ,6
哈哈 你好 厉害 我 下载 了 好多 app 不过 貌似 没有 木工 的 ,2
热 的 就是 宝藏 啊 ,2
是 哒 我 喝 的 很慢 所以 我 一直 买 小杯 我妈 今天 给 我 买 了 大杯 我 没 喝完 就 冷 了 … ,2
哈哈哈哈 其实 我 也 是 只是 想 喝 但是 买 了 又 喝 不 完 ,1
买 小杯 我 觉得 刚好 够 喝 ,6
台风 就 快 过去 了 的 说 ,6
难道 台风 过 了 就 会 热 ,6
应该 会 往年 冬天 还 能 穿 短袖 的 ,6
那 是 变态 天气 变化 的 时候 ⊙ ﹏ ⊙ ,5
的确 是 啊 全球 变暖 了 嘛 昼夜 温度 比较 大 ,6
无问 东西 我 觉得 也 不错 啊 你们 二位 喜欢 不 ,2
无问 西东 去掉 渣 特效 之外 还 凑合 但是 没有 那种 深入人心 的 东西 ,3
为什么 每个 人 感受 真 不 一样 ,6
当然 喜欢 的 不 一样 吧 ,6
喝点 生姜 红糖 水 热热 的 喝 我 也 感冒 了 ,6
嗯 吃 了 药 准备 再 泡泡 脚 头疼 得 不行 你 多 注意 啊 ,6
准备 等 会 喝 生姜 红糖 水 ,6
早点 睡 感冒 要 多 睡 好得快 ,6
嗯 你 也 早点 好 ,2
嗯 你 也 早点 好 ,2
你 的 美瞳 哪里 买 的 ,6
我 不带 美瞳 的 感觉 不 舒服 ,5
你 知不知道 哪里 有 好点 的 美瞳 卖 ,6
加 我 微信 我 推 名片 给 你 ,6
一加 出自 oppo 系 抄 mback 不要脸 ,5
还有 魅族 申请 的 专利 不是 home 键 而是 mabck home 键 的 交互方式 你 这么 能 喷 怎么 不去 喷 zuk 啊 傻子 ,5
抄 别人 的 东西 还 不知羞耻 oppo 也 就 这 b 样 ,5
死脑 残 我 手里 的 一加坏 了 而已 何必 紧张 又 不是 没用过 魅族 傻子 清醒 下 吧 ,5
我们 也 是 超级 爱 趴 睡 ,2
趴着睡 不 撅 屁股 就 没事 ,6
我们 一 撅 屁股 就要 醒 ,6
撅 屁股 睡觉 好像 有 什么 说法 吧 你 去 查 一下 ,6
我们 就是 要醒 之前 撅 屁股 然后 就 坐 起来 了 ,6
孙 仙女 的 我 看过 好几部 都 演 的 特别 好 长 的 又 好看 ,2
以前 是不是 和 亲爱 的 聊过 孙艺珍 我 记性 不好 ,6
好像 吧 我 记性 更差 她 真的 好 漂亮 我 当时 看 假如 爱有 天意 好 喜欢 她 ,2
好像 是 谈论 过 假如 爱有 天意 我 喜欢 里面 的 那种 意境 纯美 的 爱情片 孙艺珍 我 是 看 了 夏日 香气 ,2
喝牛奶 胃痛 又 不 爱 吃 肉 怎么 补充 蛋白质 呢 ,6
蒙牛 新养 道 0 乳糖 ,6
这个 牛奶 不会 胀气 吗 我 喝 伊利 的 脱脂奶 胃痛 死 ,5
我 之前 买 的 伊利 舒化奶 觉得 口感 没 蒙牛 的 好喝 我 喝 了 没 胀气 ,6
这 是 去 看 啥 大型 演出 了 ,6
五彩 文化 广场 的 露天 晚会 随便 看 不 花钱 的 ,6
我 去 了 一次 只有 音乐 喷泉 啊 ,3
我 也 不 知道 啥时候 有 组织 活动 网上 差 不到 呢 ,6
哈哈 这 是 用 啥 的 相机 ,6
不是 相机 焖饭 那里 拿 得 ,6
好 吧 我 以为 你 自制 的 ,6
原图 拿 的 表情 包 我 做 的 用美图 ,6
用心 做 的 事情 都 好 让 人 感动 ,2
宝贝 你 多久 打到 的 车 ,6
你 走 了 一会 会 我 就 打着 车 了 ,6
咱俩 都 是 幸运 的 ,1
嗯 嗯 哈哈 和 你 的 震 哥哥 一起 共 进晚餐 吧 ,1
大 晚上 的 怎么 了 怎么 还要 拍片 不要 着急 已经 是 妈妈 了 要 更 坚强 这样 才能 好好 保护 你 的 心头肉 加油 ,2
由于 我 的 疏忽 孩子 着凉 了 后果 有点 严重 ,4
这 两天 听到 周围 的 三四个 孩子 着凉 发烧 了 温差 大 要 好好 注意 不要 自责 了 看好 宝宝 要紧 ,6
嗯 以后 再也 不 大意 了 ,4
哈哈 明天 才 开始 啊 ,1
是 的 短信 上 讲 5 号 开始 我 才 注意 看到 我 到 家 了 ,6
嗯 我 刚刚 在 打电话 嘿嘿 改天 再 约 出来 哈 ,1
嗯 嗯 今天 那个 芒果 椰膏 好吃 ,2
哈哈 不错 不错 还是 要 尝试 新 东西 啊 ,2
这样 啊 老 了 老 了 受 不起 大声 的 音乐 ,5
我 也 吓坏 我 了 心脏 受不了 ,5
看来 我 还是 弃 了 好 了 ,5
只不过 还是 挺 喜欢 的 推荐 看 2d ,2
早上 6 35 分在 伪 皇宫 和 东大桥 中间 坏 了 ,6
但 后来 在 吉林 大路 又 停 了 不 知道 具体 为什么 ,6
可能 没 修好 现在 一坐 轻轨 都 后怕 ,4
只要 不停 就 代表 问题 不 大 但是 有 隐患 ,4
你 太坏 放毒 就 不 说 了 偏偏 在 这个 时候 让 我 恨 你 吗 ,5
一起 锻炼 坚强 的 意志力 ,2
目前 还 在 坚持 不 晓得 能忍 好久 ,6
我会 继续 锻炼 你 的 ,6
粉丝 到底 是 个 什么 存在 周杰伦 知道 你 是 谁 可悲 可怜 ,5
哇 现在 只要 是 偶像 不 知道 自己 存在 都 不好意思 成为 粉丝 了 那大 天朝 几亿 人 真是 混得 差 啊 ,5
不要 自己 和 其他人 混为一谈 ,5
别人 也 包括 你 那 你 混得 一定 是 风生水 起 我 似乎 该 说 一句 羡慕 ,5
我 后天 有小测 昨天 做梦 梦见 僵尸 狂叫 我 写 试卷 吓 得 我 直接 醒来 ,4
哈哈哈 哈哈 什么 鬼 脑洞 好 大 ,1
考前 焦虑 每次 快要 考试 就 紧张 梦里 的 内容 都 充满 了 压力 ,4
准备充分 点 就 不会 焦虑 了 ,6
全家 团聚 的 神马 最 开心 了 ,1
哈哈 是 我 外公 外婆 这边儿 后面 三幅 字画 最 右面 一幅 是 我 外公 自己 写 的 ,1
给 跪 了 大师 啊 你 有没有 遗传 到 哈哈 祝 两 老 福如东海 寿比南山 哈 ,2
不过 每次 会输 就是 哈哈 ,1
看到 你 很 开心 很 幸福 我 也 觉得 好 幸福 希望 他 十年如一日 地爱 着 你 恩爱 一直 秀 下去 ,2
好 我 努力 他 也 努力 我 才 想 看 你 一直 开开心心 快快乐乐 的 ,2
放心 啦 我会 很 开心 的 你 不用 担心 我 好好 经营 你 自己 的 感情 就是 啦 好久没 看到 你 了 想 你 了 ,2
我 才 是 想 你 啦 我 这个 寒假 要学 车车 还 不 知道 能 不能 来 找 你 玩 你 过年 啥时候 回来 呀 ,2
咋啦 不 喜欢 他 了 ,6
淡 了 很 久 了 ,3
天 了 噜 绝情 的 人 ,5
我 这 不是 去 看 他 了 吗 还 想 让 我 怎样 ,5
乍一看 我 以为 是 我 跟 你 说 的 ,6
你 是 好人 不会 不 照顾 孤寡 青年 的 内心 的 ,2
哈哈哈哈 哈哈哈 孤寡 中年 吧 ,1
你 跟 他 一样 的 货色 ,5
不 我 比 他 好多 了 我 好多 东西 没 跟 你 秀 呢 ,2
有点 好奇 你 什么 时候 学过 骑马 貌似 这是 时尚 白领 的 新潮流 ,6
是 呀 之前 都 没听说过 学 骑马 呢 这 究竟 是 玩来 着 还是 为 新戏 准备 呢 窦 老师 能 告诉 我们 吗 ,6
窦 老师 肯定 说 那 是 秘密 不能 告诉 你 的 如果 他 真 告诉 你 我 打赌 到 广东 请 您 喝 早茶 啊 ,6
窦 老师 最近 会 不会 到 上海 来 赛车 呢 你 要 抓紧 机会 问问 他 呀 ,6
所以 回到 我 前面 那条 评论 我 担心 他 不 赛车 改 赛马 啦 我 得 回头 找 找 上海 有 哪些 骑马 的 地方 喽 ,6
骑马 的 地方 可能 北京 比 上海 的 多一点 吧 骑马 不 一定 到 上海 了 吧 ,6
看过 推荐 这家 ,2
我们 也 是 被 推荐 去 的 真的 不错 诶 ,2
哈哈哈 好 我 要 去 离 我 超近 ,1
要 早点 去 最好 提前 预约 还有 就是 有点 小贵 ,6
哈哈 好 get ,1
垃圾 egd 真的 废物 bp 两把 都 是 大 虫子 老鼠 不 长 记性 ,5
垃圾 懂 生活 的 不如意 喷比 你 强 的 人 ,5
狗腿子 看到 没 又 输 了 废物 ,5
输 了 关 你 毛事 哦 你 气 啥 ,5
真能 走 啊 不 说来 贵阳 么 你 人 呢 你 人 呢 ,3
谁 叫 贵阳 不是 港口 快 帮 我 在 贵阳 找要 煤炭 的 就 可以 去 了 哈哈 ,1
那来 六盘水 这边 全是 煤炭 哈哈 ,1
我 是 需要 有人 买 我 的 煤炭 啦 哈哈 我 公司 进口 煤炭 的 ,1
甜 的 还是 咸 的 呀 ,6
咸 的 这边 只有 肉 粽 ,6
嘉兴 肉 粽 很 好吃 勒 嘻嘻 ,1
嗯 嗯 还 可以 不过 玩 我 最 爱 的 还是 家里 的 白 粽 ,2
有点 不 尊重 记者 了 ,5
没事 啦 蜜蜂 每个 人 表达 自己 观点 罢了 别太 在意 啦 ,6
还是 有 理智 粉 的 ,6
你 也 别生气 因为 杨幂 最近 被 骂 得 太 厉害 所以 粉丝 很 敏感 ,6
去 他 的 滥情 种 老娘 看破 了 ,5
好人 还是 有滴 正向 你 走来 呢 你 要 相信 ,6
昨晚 是 我 来 协和 第一次 失眠 我 不 懂 是 好 的 还是 不好 的 征兆 ,3
偶尔 失眠 正常 啦 没事 看来 是 白天 过得 太 轻松 了 ,6
也许 是因为 昨晚 看 了 高度 帅 的 照片 的 缘故 ,6
高富帅 不 一定 靠 谱 啊 ,6
该死 的 有人 说 减肥 不买 泡面 哎 ,5
该死 的 是 你 不让 我 去 买 的 ,5
该死 的 是 我 叫 你 买 你 不 买 的 ,5
该死 的 后来 我要 买 你 哼哼 个 啥 ,5
张 的 好 就是 不 一样 啊 ,6
怎么 会 不 一样 啊 ,6
长得 好惹 人 喜欢 惹人爱 啊 ,6
也 不见得 现在 这个 社会 流行 嘴巴 甜 似乎 人人 都 爱 虚伪 ,5
我 觉得 我 所有 的 皂片 都 正常 美丽动人 冰天雪地 人景 合一 ,2
嗯 呐 尤其 是 和 黑 蒙古包 的 合照 更是 衬托 你 的 气色 红润 万人迷 看 了 你 的 照片 也 是 醉 了 ,2
觉得 不能 一起 愉快 的 玩耍 了 ,3
琪琪 姐姐 你 不 爱 我 了 吗 ,3
同感 同感 同感 ,6
其实 一周 只有 周末 我 才 有 状态 哇 哈哈 ,1
我 也 是 啊 tmd 我 发现 我 现在 周一 到 周五 上课 上 得 比 大学 还 积极 大学 偶尔 还有 一两天 没课 的 时候 ,5
哈哈哈 看到 tmd 这 几个 字 我 觉得 好 嗨 啊 ,1
你 是 演 妖怪 甲 还是 乙 ,6
这 都 被 你 猜中 了 最 主要 的 是 还 剩 两天 现在 还 在 加班 做 提案 ,6
悲 催 为 虾米 你 就 不能 演个 葫芦娃 呢 ,3
依旧 做俊发 我 也 觉得 我 适合 演 葫芦娃 可 就 我 一个 窜 角 的话 太 抢戏 了 不妥 哈哈 ,1
贵阳 得 有 啥子 不妥 我 觉得 妥妥 得 演三娃 刀枪不入 ,6
对头 我 觉得 四娃 更 适合 喷火 哈哈 ,1
我 就 一个 问题 博主去 丽江 被 当地 人民 强制 坑 了 多少 钱 ,6
你 有 被 强制 坑 的 类似 经历 ,6
嗯 想 起来 都 恶心 以后 绝对 不会 再 去 云南 ,5
摔倒 了 自暴自弃 也 是 一种 选择 ,6
我 是 用 脚 投票 然后 再 告诉 其他人 云南旅游 环境 多差 云南 的 旅游 服务 有多差 云南 的 强制 消费 有 多 恶心 人 ,5
有钱 头寄点 给 我 吃 吃 啊 ,6
你 还 喜欢 吃 甜 的 啊 ,2
我 一直 喜欢 吃 甜 的 ,2
这种 不 添加 防腐剂 的 寄 到 你 那里 应该 会 坏掉 天气 太热 ,6
这 款 实在 太 喜欢 了 地台 超棒 的 可惜 我 还 没有 而且 太贵 了 15 也 没 提升 多少 嘛 ,2
dx15 提升 的 小 细节 不少 半植发 新款 地台 等等 吧 而且 预订 也 才 1400 左右 对于 没入 dx06 的 玩家 来说 还是 很 好 哒 期待 下 ,2
嗯 嗯 15 预订 了 两个 价格 这次 很 亲民 06 15 都 是 帅 b 啊 各有 好处 ,2
都 有 保留 价值 嗯 嗯 ,2
我 老公 今 早就 被 贴条 了 就 差 六分钟 nnd ,5
帮 你 画 圈圈 诅咒 丫 的 ,5
没错 主要 是 一排 车 就 贴 了 他 一辆 挑着 贴 的 ,5
这 有点儿 忒 孙子 了 ,5
这 男 的 太 可恶 了 ,5
是 很 可恶 想 起来 还 会心 有 馀 悸 ,5
多 危险 啊 万一 后面 还有 车开 过来 后果 不堪设想 ,4
是 哇 还好 女孩 命大 后面 没有 车有车 你 我 现在 也 不会 成 姐妹 了 ,4
啊 这个 女孩 是 姐姐 这 男 的 更 该死 了 ,5
嗯 嗯 是 姐姐 可怜 的 姐姐 ,3
家培哥 不要 伤心 你 这么 优秀 公司 舍不得 勒 … 开心 点 什么 都 难 不到 你 加油 ,2
优秀 优秀 就 不会 考 不过 ,3
运气 问题 老师 发现 桌面 有 题库 了 一次 考试 又 不能 说明 什么 不要 气 了 以后 还有 很多 的 检查 航班 需要 你 ,2
算咯 我 不行 噢 现在 都 是 你们 了 ,3
今天 第一次 看到 你 感觉 很 不 真实 全程 一直 看着 你 却 还 觉得 时间 太 少 以后 还要 再见 你 ,2
小 叶子 长得 和 电视 上 一样 吗 ,6
一样 啊 看上去 给 人 很 舒服 的 感觉 就是 觉得 他 好 累 挺 心疼 的 ,2
啊 谢谢 了 希望 有 机会 亲自 看看 小 叶子 当然 能 见到 诺一 霓娜 才 最 开心 ,2
自己 抓个 人参 不 就 得 了 ,6
哪有 人参 让 我 随便 抓 的 道理 啊 ,6
